Rang,Score /7,Cabinet,Ville,Telephone,Avocat(s) au Tableau de l'Ordre,Domaines de droit,Structure /2,Fideicommis /2,Age /3,Signal age,Annee domaine,Autres indices,Site,Adresse,Fiabilite numero,ETAT,Date appel,Qui a repondu,Nb avocats confirme,Adjointe ?,Cabinet depuis quand ?,Leurs mots exacts,Prochaine action,Date relance
12,5,Médiation ProSolution,Saint-Jean-Sur-Richelieu,514-506-4517,"Lizotte, Estelle",Famille,2,0,3,domaine web cree en 2021,2021,,mediationprosolution.com,"219, rue Jacques-Cartier N, Saint-Jean-Sur-Richelieu J3B 6T3",haute,A_APPELER,,,,,,,,
13,5,Varnaitis Avocats inc.,Saint-Jérôme,450-990-1390,"Korotkova, Olesya | Varnaitis, Roxanne",Famille,2,0,3,domaine web cree en 2021,2021,,varnaitisavocats.com,"518 Rue Laviolette, Saint-Jérôme J7Y 2V1",haute,A_APPELER,,,,,,,,
14,5,ÉBONGUÉ AVOCATS/LAWYERS INC.,Montréal,514-996-9991,"Batoube Ebongue, James Junior",Famille,2,0,3,domaine web cree en 2023,2023,site (c) 2026,avocats-ebongue.ca,"7680 Rue Édouard, Montréal H8P 1T4",haute,A_APPELER,,,,,,,,
15,4,Andrée Talbot avocate inc.,Longueuil,450-463-3339,"Talbot, Andrée","Immobilier, Successions",2,2,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"570 Boul Roland-Therrien, Longueuil J4H 3V9",haute,A_APPELER,,,,,,,,
16,4,"Étude Sylvain Mercier, Avocat",Sainte-Thérèse,450-437-8746,"Bérubé, Sylvain | Mercier, Sylvain","Famille, Immobilier, Successions",2,2,0,domaine web 2013,2013,site (c) 2025,avocatmercier.ca,"218, boul du Curé-Labelle, Sainte-Thérèse J7E 2X7",haute,A_APPELER,,,,,,,,
17,4,Atchison Perrault Avocats Inc.,Saint-Lambert qc,450-671-2829,"Atchison, Christopher | Perrault, Martine",Immobilier,1,1,2,domaine web cree en 2018,2018,,atchisonperrault.ca,"2001 AvVictoria, Saint-Lambert qc J4P 1H1",haute,A_APPELER,,,,,,,,
18,4,Pringle et Associés Avocats,Laval,450-668-8008,"Acciari, Audrey | Aoun, Rachel | Brayley, Emma","Famille, Successions",1,1,2,domaine web cree en 2019,2019,,pringleassocies.com,"502-2905, Place Louis-R.-Renaud, Laval H7V 0A3",haute,A_APPELER,,,,,,,,
19,4,"Me Lynda Boutin, avocate",Salaberry-de-Valleyfield,450-859-0472,"Boutin, Lynda | Vinet, Viviane",Famille,2,0,2,domaine web cree en 2017,2017,site (c) 2026,lyndaboutinavocate.ca,"201-63 rue Saint-Jean Baptiste, Salaberry-de-Valleyfield J6T 1Z6",haute,A_APPELER,,,,,,,,
20,4,Me Sylvie Bourgeois,Lorraine,514-262-7581,"Bourgeois, Sylvie",Famille,2,0,2,domaine web cree en 2017,2017,,sylviebourgeois.com,"62 boul de Chambord, Lorraine J6Z 1P5",haute,A_APPELER,,,,,,,,
21,4,Morand Duval avocats Inc.,Beloeil,450-600-2445,"Giroux, Raphaëlle | Morand, Evelyne | Van de Kerckhove, Patricia-Annick",Famille,2,0,2,domaine web cree en 2017,2017,,morandduvalavocats.ca,"201, boul Sir-Wilfrid-Laurier, Beloeil J3G 4G8",haute,A_APPELER,,,,,,,,
22,4,"Nadia Buttino, Avocate",Montréal,514-842-0505,"Buttino, Nadia Lucia",Famille,2,0,2,domaine web cree en 2017,2017,,nadiabuttino.placeweb.site,"1962, rue Notre-Dame O, Montréal H3J 1M8",haute,A_APPELER,,,,,,,,
23,4,Schirm & Tremblay Avocats Inc.,Longueuil,514-360-6109,"Cloutier, Elizabeth | Leboeuf, Amélie | Palassio-Pelletier, Maxime",Famille,2,0,2,domaine web cree en 2019,2019,,soleiltremblayavocat.ca,"70 Rue De La Barre, Longueuil J0T 1G0",haute,A_APPELER,,,,,,,,
24,4,Sherif Hanna,Laval,514-577-7722,"Hanna, Sherif",Famille,2,0,2,domaine web cree en 2017,2017,,sherifavocats.com,"202-1545 boul de l'Avenir, Laval H7S 2N5",haute,A_APPELER,,,,,,,,
25,4,Sultan Avocat inc,Laval,514-664-9898,"Al-Al-Sultan Al-Ghouri, Achraf",Famille,2,0,2,domaine web cree en 2017,2017,,sultanavocats.com,"1811 Boulevard des Laurentides, Bureau 51, Laval H7M 2P7",haute,A_APPELER,,,,,,,,
26,4,"Caron Schetagne, Avocates",Saint-Jérôme,438-265-1333,"Caron, Vanessa | Schetagne, Mélissa",Famille,1,0,3,domaine web cree en 2021,2021,,caronschetagne.com,"489 Rue Laviolette, Saint-Jérôme J7Y 2T8",haute,A_APPELER,,,,,,,,
27,3,Cardinal Laroche Avocats,Salaberry-de-Valleyfield,450-859-0755,"Cardinal, Jacquie | Laroche, François","Famille, Immobilier, Successions",1,2,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"202-2003, boul Sainte-Marie, Salaberry-de-Valleyfield J6T 3B5",haute,A_APPELER,,,,,,,,
28,3,Mathieu Kellner avocat inc.,Sainte-Thérèse,450-506-0285,"Deschênes-Ouimet, Catherine | Kellner, Mathieu | Martineau, Karine","Famille, Immobilier, Successions",1,2,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"109A-275 boul Curé-Labelle,  H7V 2P6",haute,A_APPELER,,,,,,,,
29,3,ASH Avocats inc,Saint-Lambert,450-486-3301,"Naka, Marie Frédérique | Sagnon, Iguélé Amélie","Famille, Immobilier",2,1,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"102-594 Av Victoria, Saint-Lambert J4P 2J6",haute,A_APPELER,,,,,,,,
30,3,Avea Conseil Inc.,Greenfield Park,514-449-2832,"Bouhaddi, Mourad",Immobilier,2,1,0,"age inconnu, a demander a l'appel",,,aveaconseil.ca,Greenfield Park,haute,A_APPELER,,,,,,,,
31,3,BTK avocats,Sainte-Marthe-Sur-Le-Lac,450-472-2207,"Kouidri, Zineb",Immobilier,2,1,0,"age inconnu, a demander a l'appel",,PJ ne liste qu'une page Facebook,facebook.com,Sainte-Marthe-Sur-Le-Lac,haute,A_APPELER,,,,,,,,
32,3,Bessette Avocats inc.,Verdun,514-291-4402,"Bessette, David | Downs, Félix-Antoine","Famille, Immobilier",2,1,0,domaine web 2015,2015,,bessetteavocat.com,"203-1090 Rue De L'Église, Verdun H4G 2N5",haute,A_APPELER,,,,,,,,
33,3,Brunet & Robillard Avocats Inc.,Laval,450-668-1920,"Corbeil, Laurence",Immobilier,2,1,0,"age inconnu, a demander a l'appel",,PJ ne liste qu'une page Facebook,facebook.com,"1600A, boul Saint-Martin E, Laval H7G 4R8",haute,A_APPELER,,,,,,,,
34,3,Bélanger Paradis Avocats Inc.,Anjou,514-787-1836,"Bentabbel, Rafik Mouloud | Cliche, Jean-Francois | Crease, Daniel Matthew",Immobilier,2,1,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"9200 Boul Métropolitain E, Anjou H1K 4L2",haute,A_APPELER,,,,,,,,
35,3,Cardinal Léonard Denis DeSua avocats s.n.,Montréal/Terrebonne,450-688-7050,"Chenier, Jessica | Léonard, Caroline","Famille, Immobilier",2,1,0,"age inconnu, a demander a l'appel",,PJ ne liste qu'une page Facebook,facebook.com,,haute,A_APPELER,,,,,,,,
36,3,Jean-Marc Giroux,Rosemère,450-621-4100,"Giroux, Jean-Marc",Immobilier,2,1,0,"age inconnu, a demander a l'appel",,PJ ne liste qu'une page Facebook,facebook.com,"368 Rue Du Bosquet, Rosemère J7A 4J2",haute,A_APPELER,,,,,,,,
37,3,"L'Étude de Me Sylvain Sauvageau, avocat",Deux-Montagnes,450-473-5883,"Sauvageau, Sylvain","Famille, Immobilier",2,1,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"1302, ch d'Oka, Deux-Montagnes J7R 1M4",haute,A_APPELER,,,,,,,,
38,3,"Me Pierre Parker, avocat",Greenfield Park,514-399-1000,"Parker, Pierre",Immobilier,2,1,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"100-4192 Grande Allée, Greenfield Park J4V 3N2",haute,A_APPELER,,,,,,,,
39,3,Me Éric Blaisel avocat,Saint-Jérôme,450-431-7545,"Blaisel, Eric","Famille, Immobilier",2,1,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"300-300, rue Longpré, Saint-Jérôme J7Y 3B9",haute,A_APPELER,,,,,,,,
40,3,Michael Besner,Montréal,514-878-1011,"Besner, Michael",Immobilier,2,1,0,"age inconnu, a demander a l'appel",,PJ ne liste qu'une page Facebook,facebook.com,"1000 de la Gauchetière O, Montréal",haute,A_APPELER,,,,,,,,
41,3,"Morin Daoud, Avocats et médiateurs",Longueuil,450-928-9666,"Daoud, Yasmine C. | Morin, Yannick","Famille, Successions",2,1,0,"age inconnu, a demander a l'appel",,PJ ne liste qu'une page Facebook,facebook.com,"1969 rue Sainte-Hélène, Longueuil J4K 3T4",haute,A_APPELER,,,,,,,,
42,3,Nicole Giguère avocate inc.,Laval,514-799-0919,"Giguère, Nicole",Successions,2,1,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"201-3080 Boul Le Carrefour, Laval H7T 2R5",haute,A_APPELER,,,,,,,,
43,3,Notaires Beauchamp Cyr Inc.,Saint-Jérôme,450-504-7625,"Audet, Yves-Antoine",Immobilier,2,1,0,"age inconnu, a demander a l'appel",,,beauchamproyavocats.com,"2068, rue de l'Estran, Saint-Jérôme J5L 0G5",haute,A_APPELER,,,,,,,,
44,3,Richard A. Friedman Corporation D'avocats inc.,Montréal,514-849-9148,"Friedman, Richard",Immobilier,2,1,0,"age inconnu, a demander a l'appel",,,richardafriedman.com,"1255 Rue University, Montréal H3B 3W1",haute,A_APPELER,,,,,,,,
45,3,Réal L'Heureux Avocat,Sainte-Julie,514-808-1957,"L'Heureux, Réal",Successions,2,1,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"1121 Rue Du Ponceau, Sainte-Julie J3E 2T1",haute,A_APPELER,,,,,,,,
46,3,Société d'avocats DEXAR Inc.,Boucherville,450-906-3880,"Lamothe, Josée",Immobilier,2,1,0,"age inconnu, a demander a l'appel",,,dexar.ca,"1590 Ampère, Boucherville J4B 7L4",haute,A_APPELER,,,,,,,,
47,3,Sylvie Vanasse,Morin-Heights,514-313-5926,"Vanasse, Sylvie",Immobilier,2,1,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"121, rue Augusta, Morin-Heights J0R 1H0",haute,A_APPELER,,,,,,,,
48,3,Victoria Bibeau Avocate,Laval,514-774-3661,"Bibeau, Victoria",Immobilier,2,1,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"200-1430 Boul Saint-Martin O, Laval H7S 1M9",haute,A_APPELER,,,,,,,,
49,3,Viens Avocats inc.,Terrebonne,579-914-0380,"Viens, Pierre-André",Immobilier,2,1,0,domaine web 2014,2014,site (c) 2025,viensavocats.com,"201-550 Ch Du Côteau, Terrebonne J6W 5H2",haute,A_APPELER,,,,,,,,
50,3,Amiot Avocats,Boucherville,514-437-8700,"Amiot, Véronique | Ste-Croix, Laurie",Famille,1,0,2,domaine web cree en 2017,2017,site (c) 2026,reseauavocats.com,"100-1590 Rue Ampère, Boucherville J4B 7L4",haute,A_APPELER,,,,,,,,
51,3,Choinière Bilodeau Avocats,St-Jean-sur- Richelieu,450-347-1688,"Bilodeau, Évelyne | Choinière, Sylvain",Famille,1,0,2,domaine web cree en 2019,2019,,tremblaychoinierebilodeauavocats.ca,"127 Saint-Charles, St-Jean-sur- Richelieu J3B 2C4",haute,A_APPELER,,,,,,,,
52,3,Salvatore Avocats Inc.,Blainville,450-970-2707,"Côté, Laurie | Marcelli, Jessica | Marsillo, Catherine",Famille,1,0,2,domaine web cree en 2017,2017,site (c) 2026,reseauavocats.com,"322-75 Boulevard des Châteaux, Blainville J7B 2A4",haute,A_APPELER,,,,,,,,
53,3,Veritas Avocats Inc.,Laval,1-800-324-2920,"Angelopoulos, Georgia | Baz, Melissa | D'Astous-Lepage, Laurence",Famille,0,0,3,domaine web cree en 2025,2025,,veritasavocat.ca,,haute,A_APPELER,,,,,,,,
54,2,"Daneau, Poirier, avocats",Saint-Jean-Sur-Richelieu,450-358-9233,"Daneau, Luc","Immobilier, Successions",2,2,-2,"en ligne depuis 2003, cabinet etabli",2003,site (c) 2026,daneaupoirieravocats.com,"234 Rue Longueuil, Saint-Jean-Sur-Richelieu J3B 6P4",haute,A_APPELER,,,,,,,,
55,2,PC avocats inc.,McMasterville,450-813-2727,"Balasu, Cristina Diana | Chouliareas, Stephanie | De Blasio, Selena","Famille, Immobilier, Successions",0,2,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"934 Rue Bernard-Pilon, McMasterville J3G 1L6",haute,A_APPELER,,,,,,,,
56,2,Charron Avocats,Rosemère,514-839-8206,"Charron, Guillaume | Villemure-Houde, Hugo",Immobilier,1,1,0,domaine web 2016,2016,,charronavocats.ca,"372 ch de la Grande-Côte, Rosemère J7A 1K6",haute,A_APPELER,,,,,,,,
57,2,"Drolet Pigeon Ste-Marie, Avocats et médiateurs",Châteauguay,450-844-8808,"Bériault, Alexina | Drolet, Nancy | Perrier, Sara","Famille, Successions",1,1,0,domaine web 2014,2014,site (c) 2026,dpavocats.ca,"78 Boul Salaberry S, Châteauguay J6J 4J6",haute,A_APPELER,,,,,,,,
58,2,Jean Légal inc.,Joliette,450-398-2030,"Dubeau, Émilie | Jean, Patrick",Immobilier,1,1,0,domaine web 2015,2015,,jean-legal.com,"465 Boulevard Sainte-Anne, Joliette J6E 5A1",haute,A_APPELER,,,,,,,,
59,2,"Monette & Collette, avocats",Sainte-Julie,450-649-3010,"Collette, France | Monette, Patrice","Famille, Successions",1,1,0,domaine web 2013,2013,site (c) 2025,monettecolletteavocats.com,"508, av Jules-Choquet, Sainte-Julie J3E 1W6",haute,A_APPELER,,,,,,,,
60,2,Nelson Champagne,Montréal,514-843-4848,"McDonald, James | Zakaib, Nicholas",Successions,1,1,0,"age inconnu, a demander a l'appel",,,ncc-lex.com,"1100, av des Canadiens-de-Montréal, Montréal H3B 2S2",haute,A_APPELER,,,,,,,,
61,2,Alex Benmergui avocat,Dollard-des-Ormeaux,514-288-4050,"Benmergui, Alex",Famille,2,0,0,"age inconnu, a demander a l'appel",,,normanskessner.com,"3701, boul Saint-Jean, Dollard-des-Ormeaux H9G 1X2",haute,A_APPELER,,,,,,,,
62,2,Amélie Bourgault-Albert Avocate Inc.,Saint-Eustache,514-808-3420,"Bourgault-Albert, Amélie",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"165 rue du Moulin, Saint-Eustache J7R 2P5",haute,A_APPELER,,,,,,,,
63,2,"Arishma D. Gokhool, Avocate inc",Toronto,450-507-3737,"Gokhool, Arishma Devi",Famille,2,0,0,domaine web 2014,2014,,agavocate.com,"47 Boulevard D'Anjou, Toronto J6J 3W6",haute,A_APPELER,,,,,,,,
64,2,Cabinet Gelber Liverman,Pointe-Claire,438-505-3000,"Champagne-Wees, Rachel",Famille,2,0,0,domaine web 2013,2013,site (c) 2025,cabinetgelberliverman.ca,"189 boul Hymus, Pointe-Claire H9R 1E9",haute,A_APPELER,,,,,,,,
65,2,"Carole Charest, avocate",Bois-des-Filion,450-951-9350,"Charest, Carole",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"103, 33E av, Bois-des-Filion J6Z 2C2",haute,A_APPELER,,,,,,,,
66,2,Carole Tremblay Avocate,Laval,450-697-0120,"Tremblay, Carole",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"500-3055 Boul Saint-Martin O, Laval H7T 0J3",haute,A_APPELER,,,,,,,,
67,2,"François Leduc, avocat",Sainte-Julie,450-338-4556,"Leduc, François",Famille,2,0,0,"age inconnu, a demander a l'appel",,,allaireleducavocats.com,"509 av Jules-Choquet, Sainte-Julie J3E 1W6",haute,A_APPELER,,,,,,,,
68,2,Henriquez Avocats Inc.,Montréal,514-903-9004,"Banu, Teodora",Famille,2,0,0,domaine web 2016,2016,,henriquezavocate.com,"401-338 rue Saint-Antoine E, Montréal H2Y 1A3",haute,A_APPELER,,,,,,,,
69,2,Jean H. Philippe avocat,Repentigny,450-585-3500,"Philippe, Jean H.",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"215 Rue Notre-Dame, Repentigny J6A 2R4",haute,A_APPELER,,,,,,,,
70,2,Jean-Luc Lapointe,Rosemère,450-621-9205,"Lapointe, Jean-Luc",Famille,2,0,0,"age inconnu, a demander a l'appel",,,jean-luclapointeavocat.ca,"383, rue Vaudreuil, Rosemère J7A 4E8",haute,A_APPELER,,,,,,,,
71,2,Josiane Villeneuve Avocate,Longueuil,450-651-1454,"Villeneuve, Josiane",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste qu'une page Facebook,facebook.com,"1185 Chemin du Tremblay, Longueuil J4N 1R4",haute,A_APPELER,,,,,,,,
72,2,Laplante & Associés,Blainville,450-437-6264,"Anctil, Danielle",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"86 Rue Des Tournois, Blainville J7C 4Y4",haute,A_APPELER,,,,,,,,
73,2,"Lito I. Domingo, Avocat",Montréal,514-823-8464,"Domingo, Isabelito",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"100-442, rue Saint-Gabriel, Montréal H2Y 2Z9",haute,A_APPELER,,,,,,,,
74,2,Louis Rouillier Avocat,Saint-Jérôme,450-569-6666,"Rouillier, Louis",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"393, rue Laviolette, Saint-Jérôme J7Y 2T2",haute,A_APPELER,,,,,,,,
75,2,Lyne Trudeau avocate inc.,Saint-Hubert,514-742-0543,"Trudeau, Lyne",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"3219, Grande Allée, Saint-Hubert J4T 2S6",haute,A_APPELER,,,,,,,,
76,2,MD Avocate inc.,Châteauguay,450-699-2749,"Dubreuil, Mélissa",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"65 rue rue Principale, Châteauguay J6K 1E9",haute,A_APPELER,,,,,,,,
77,2,"Marie-Claude Nichols, avocate",Notre-Dame-de-l'île-Perrot,514-983-9157,"Nichols, Marie-Claude",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"17, rue Huot, Notre-Dame-de-l'île-Perrot J7V 7M4",haute,A_APPELER,,,,,,,,
78,2,Martine Bédard avocate,Montréal,514-461-3600,"Bédard, Martine",Famille,2,0,0,"age inconnu, a demander a l'appel",,,martinebedard.ca,"2348, rue Saint-Jacques, Montréal H3J 2M7",haute,A_APPELER,,,,,,,,
79,2,Maryse Bélanger avocate inc,Boisbriand,450-963-2424,"Bélanger, Maryse",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,,haute,A_APPELER,,,,,,,,
80,2,"Mathieu Rollet, avocat",Sainte-Julienne,514-603-5260,"Rollet, Mathieu",Famille,2,0,0,"age inconnu, a demander a l'appel",,,rolletavocat.ca,"101-1516 Route 125, Sainte-Julienne J0K 2T0",haute,A_APPELER,,,,,,,,
81,2,"Me Alain Turgeon, avocat",St-Eustache,450-485-0508,"Turgeon, Alain",Famille,2,0,0,domaine web 2014,2014,,turgeonassociesavocats.com,"187, boul Arthur-Sauvé, St-Eustache J7P 2A6",haute,A_APPELER,,,,,,,,
82,2,Me Anne-Marie Lord avocate,Mont-Saint-Grégoire,450-347-3111,"Lord, Anne-Marie",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"2, rue de Bourpeuil, Mont-Saint-Grégoire J0J 1K0",haute,A_APPELER,,,,,,,,
83,2,Me Annie Francoeur,Sorel-Tracy,450-954-2528,"Francoeur, Annie",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste qu'une page Facebook,facebook.com,"317, boul Fiset, Sorel-Tracy J3P 3R3",haute,A_APPELER,,,,,,,,
84,2,Me Gilles Gravel Inc.,Laval,450-686-9809,"Gravel, Gilles",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,,haute,A_APPELER,,,,,,,,
85,2,Me Jean Yanakis avocat inc,Lavaltrie,450-586-4905,"Yanakis, Jean",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"1910, rue Notre-Dame, Lavaltrie J5T 1N1",haute,A_APPELER,,,,,,,,
86,2,"Me Johanne Roby, avocate & médiatrice",Boucherville,450-536-1234,"Roby, Johanne",Famille,2,0,0,domaine web 2013,2013,site (c) 2026,johanneroby.com,"805-43 rue Jean Deslauriers, Boucherville J4B 0G1",haute,A_APPELER,,,,,,,,
87,2,Me Julie Bourque cabinet d'avocats,Brossard,514-383-5667,"Bourque, Julie",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste qu'une page Facebook,facebook.com,"3-3020 Boul De Rome, Brossard J4Y 1V9",haute,A_APPELER,,,,,,,,
88,2,Me Lise Massicotte,Saint-Jérôme,450-432-1555,"Massicotte, Lise",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"379 Rue Rochon, Saint-Jérôme J7Y 2H5",haute,A_APPELER,,,,,,,,
89,2,"Me Louis-Martin Nichols, avocat",Laval,438-385-1216,"Nichols, Louis-Martin",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"306-1555 Boul de L'avenir, Laval H7S 2N5",haute,A_APPELER,,,,,,,,
90,2,"Me Louise Arpin, avocate",Saint-Hyacinthe,450-924-1145,"Arpin, Louise",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"102-5425 Boul Laurier O, Saint-Hyacinthe J2S 3V6",haute,A_APPELER,,,,,,,,
91,2,Me Louisette Loyer,Blainville,450-437-9400,"Loyer, Louisette",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste qu'une page Facebook,facebook.com,"23, rue Rita-Hart, Blainville J7B 1G6",haute,A_APPELER,,,,,,,,
92,2,"Me Madeleine Cadieux, avocate et médiatrice",St-Jean,450-741-1550,"Cadieux, Madeleine",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"104-650 rue Boucher, St-Jean J3B 7Z8",haute,A_APPELER,,,,,,,,
93,2,Me Manon Béliveau,Longueuil,450-646-6344,"Béliveau, Manon",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"580, boul Sainte-Foy, Longueuil J4J 1Y6",haute,A_APPELER,,,,,,,,
94,2,"Me Maryse Beauregard, avocate",Saint-Hyacinthe,450-252-5030,"Beauregard, Maryse",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste qu'une page Facebook,facebook.com,"975 Av Du Palais, Saint-Hyacinthe J2S 5C6",haute,A_APPELER,,,,,,,,
95,2,Me Michèle Léger,Longueuil,450-677-2851,"Léger, Michèle",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste qu'une page Facebook,facebook.com,"50, rue Saint-Charles O, Longueuil J4H 1C6",haute,A_APPELER,,,,,,,,
96,2,Me Nathalie Richard,Laval,450-686-1239,"Cardinal, Nathalie | Richard, Nathalie",Famille,2,0,0,"age inconnu, a demander a l'appel",,,nathalie-richard.ca,"360-500 boul St-Martin O, Laval H7S 1Y9",haute,A_APPELER,,,,,,,,
97,2,Me Papa-Mike Diomande,Montréal,514-868-0553,"Diomande, Papa-Mike",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"147 Rue Saint-Paul O, Montréal H2Y 1Z5",haute,A_APPELER,,,,,,,,
98,2,"Me Pierre Goulet, avocat",Laval,450-622-4414,"Goulet, Pierre",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste qu'une page Facebook,facebook.com,"242A, boul Sainte-Rose, Laval H7L 1L6",haute,A_APPELER,,,,,,,,
99,2,"Me Robert Brankin, Avocat",Terrebonne,450-477-9148,"Brankin, Robert",Famille,2,0,0,"age inconnu, a demander a l'appel",,PJ ne liste aucun site,,"227 boul. des Braves, bureau 101, Terrebonne J6W 3H6",haute,A_APPELER,,,,,,,,
